name,country,institution,dblp,pid,final_url,expertise
bolin ding,united states,microsoft research,https://dblp.org/pers/d/Ding:Bolin.html,46-3522,https://dblp.org/pid/46/3522.html,6
bolong zheng,china,huazhong university of science and technology,https://dblp.org/pid/152/4895.html,152-4895,https://dblp.org/pid/152/4895.html,3
bongki moon,south korea,seoul national university,https://dblp.org/pers/m/Moon:Bongki.html,20-6358,https://dblp.org/pid/20/6358.html,2
boon thau loo,united states,univ. of pennsylvania,https://dblp.org/pid/75/3108.html,75-3108,https://dblp.org/pid/75/3108.html,5
boris glavic,united states,illinois institute of technology,https://dblp.uni-trier.de/pers/hd/g/Glavic:Boris,09-3012,https://dblp.uni-trier.de/pid/09/3012.html,2
brandon haynes,united states,"gray systems lab, microsoft",https://dblp.org/pid/180/5761.html,180-5761,https://dblp.org/pid/180/5761.html,5
brandon haynes,united states,ms jim gray,https://dblp.org/pid/180/5761.html,180-5761,https://dblp.org/pid/180/5761.html,5
brit youngmann,united states,mit,https://dblp.org/pid/185/4349.html,185-4349,https://dblp.org/pid/185/4349.html,10
byron choi,hong kong sar,hong kong baptist university,https://dblp.uni-trier.de/pers/c/Choi:Byron.html,07-1560,https://dblp.uni-trier.de/pid/07/1560.html,4
byron choi,hong kong sar,"hong kong baptist university, hong kong, china",https://dblp.uni-trier.de/pers/c/Choi:Byron.html,07-1560,https://dblp.uni-trier.de/pid/07/1560.html,10
c mohan,united states,ibm research,https://dblp.uni-trier.de/pers/hd/m/Mohan_0001:C=,m-CMohan,https://dblp.uni-trier.de/pid/m/CMohan.html,2
c v jawahar,india,"cvit, iiit, hyderabad",https://dblp.org/pers/j/Jawahar:C=_V=.html,j-CVJawahar,https://dblp.org/pid/j/CVJawahar.html,9
caetano traina jr.,brazil,universidade de s?o paulo,https://dblp.org/pers/t/Traina_Jr=:Caetano.html,t-CaetanoTrainaJr,https://dblp.org/pid/t/CaetanoTrainaJr.html,3
cagatay demiralp,united states,megagon labs,https://dblp.org/pid/74/20.html,74-20,https://dblp.org/pid/74/20.html,6
cagatay demiralp,united states,sigma computing,https://dblp.org/pid/74/20.html,74-20,https://dblp.org/pid/74/20.html,5
caihua shan,hongkong sar,the university of hong kong,https://dblp.org/pid/193/1652.html,193-1652,https://dblp.org/pid/193/1652.html,1
can lu,hong kong sar,the chinese university of hong kong,https://dblp.org/pers/l/Lu:Can.html,149-1789,https://dblp.org/pid/149/1789.html,4
carlo curino,united states,microsoft,https://dblp.org/pid/c/CarloCurino.html,c-CarloCurino,https://dblp.org/pid/c/CarloCurino.html,7
carlo curino,united states,microsoft -- gsl,https://dblp.org/pid/c/CarloCurino.html,c-CarloCurino,https://dblp.org/pid/c/CarloCurino.html,10
carlos scheidegger,united states,the university of arizona,https://dblp.org/pers/s/Scheidegger:Carlos.html,17-5910,https://dblp.org/pid/17/5910.html,1
carmem hara,brazil,universidade federal do paran,https://dblp.org/pers/h/Hara:Carmem_S=.html,26-3914,https://dblp.org/pid/26/3914.html,1
carolina ruiz,united states,wpi,https://dblp.uni-trier.de/pers/r/Ruiz:Carolina.html,r-CarolinaRuiz,https://dblp.uni-trier.de/pid/r/CarolinaRuiz.html,2
carsten binnig,germany,tu dramstadt,https://dblp.uni-trier.de/pers/b/Binnig:Carsten.html,45-1559,https://dblp.uni-trier.de/pid/45/1559.html,3
catarina moreira,australia,queensland university of technology,https://dblp.org/pid/28/10108.html,28-10108,https://dblp.org/pid/28/10108.html,5
ce zhang,switzerland,eth,https://dblp.org/pid/97/919-1.html,97-919-1,https://dblp.org/pid/97/919-1.html,8
chang ge,canada,university of waterloo,https://dblp.org/pid/122/5424-2.html,122-5424-2,https://dblp.org/pid/122/5424-2.html,8
chang-tien lu,united states,virginia tech,https://dblp.uni-trier.de/pers/l/Lu:Chang=Tien.html,08-4367,https://dblp.uni-trier.de/pid/08/4367.html,9
chanyoung park,united states,university of illinois at urbana-champaign,https://dblp.org/pers/p/Park:Chanyoung.html,396-3564,https://dblp.org/pid/396/3564.html,2
chao huang,china,university of notre dame,https://dblp.org/pid/18/4087-1.html,18-4087-1,https://dblp.org/pid/18/4087-1.html,3
chao zhang,france,lyon 1 university,https://dblp.org/pid/94/3019-45.html,94-3019-45,https://dblp.org/pid/94/3019-45.html,2
chaokun wang,china,tsinghua university,https://dblp.org/pers/w/Wang:Chaokun.html,13-1672,https://dblp.org/pid/13/1672.html,8
